source,target,start,end
progressivehouse,progressivehouse,1990,2019
progressivehouse,techhouse,1991,1994
progressivehouse,progressive,1993,1995
progressivehouse,twinkleprog,1998,1999
eurodeephouse,eurodeephouse,1989,2019
usdeephouse,usdeephouse,1986,2019
usdeephouse,eurodeephouse,1988,1989
garage,garage,1979,2019
garage,usdeephouse,1985,1986
garage,speedgarage,1993,1994
speedgarage,speedgarage,1994,2019
speedgarage,2-stepgarage,1995,1997
brostep,brostep,2008,2019
dubstep,dubstep,2002,2019
dubstep,brostep,2007,2008
dubstep,futuregarage,2005,2006
futuregarage,futuregarage,2006,2019
grime,grime,2000,2019
grime,dubstep,2001,2002
2-stepgarage,2-stepgarage,1998,2019
2-stepgarage,grime,1999,2000
r&b,r&b,1979,2019
r&b,
reggaeton,reggaeton,2002,2019
reggaeton,
soul,soul,1987,2019
soul,
newjackswing,newjackswing,1986,2019
newjackswing,
funk,funk,1972,2019
funk,
nujazz,nujazz,1993,2019
nujazz,
acidjazz,acidjazz,1986,2019
acidjazz,
downtempo,downtempo,1990,2019
downtempo,
triphop,triphop,1994,2019
triphop,
dub,dub,1972,2019
dub,
indie,indie,1991,2019
indie,
chillout,chillout,1977,2019
chillout,
worldbeat,worldbeat,1982,2019
worldbeat,
newage,newage,1976,2019
newage,
ambient,ambient,1977,2019
ambient,
darkambient,darkambient,1982,2019
darkambient,
drone,drone,1983,2019
drone,
fm,fm,1984,2019
fm,
chiptune,chiptune,1980,2019
chiptune,
amiga%2ftracker,amiga%2ftracker,1985,2019
amiga%2ftracker,
fakebit,fakebit,1990,2019
fakebit,
plus,plus,1987,2019
plus,
moog,moog,1967,2019
moog,
soundtrack,soundtrack,1956,2019
soundtrack,
modernclassical,modernclassical,1965,2019
modernclassical,
braindance,braindance,1993,2019
braindance,
ambienttechno,ambienttechno,1990,2019
ambienttechno,
experimental,experimental,1952,2019
experimental,
noise,noise,1961,2019
noise,
collage,collage,1956,2019
collage,
industrial,industrial,1979,2019
industrial,
aggrotech,aggrotech,1997,2019
aggrotech,
industrialrock,industrialrock,1986,2019
industrialrock,
ethereal,ethereal,1984,2019
ethereal,
darkwave,darkwave,1980,2019
darkwave,
newbeat,newbeat,1987,2019
newbeat,
futurepop,futurepop,1994,2019
futurepop,
ebm,ebm,1981,2019
ebm,
psydub,psydub,1993,2019
psydub,
goatrance,goatrance,1991,2019
goatrance,
psychedelictrance,psychedelictrance,1995,2019
psychedelictrance,
darkpsy,darkpsy,1998,2019
darkpsy,
fullon,fullon,1997,2019
fullon,
progpsy,progpsy,1996,2019
progpsy,
dreamtrance,dreamtrance,1993,2019
dreamtrance,
balearictrance,balearictrance,1991,2019
balearictrance,
trance,trance,1989,2019
trance,
neotrance,neotrance,2005,2019
neotrance,
progressivetrance,progressivetrance,1994,2019
progressivetrance,
techtrance,techtrance,1998,2019
techtrance,
nrg,nrg,1995,2019
nrg,
ukhardhouse,ukhardhouse,1995,2019
ukhardhouse,
jumpstyle,jumpstyle,1998,2019
jumpstyle,
hardstyle,hardstyle,1999,2019
hardstyle,
hardtrance,hardtrance,1997,2019
hardtrance,
germantrance,germantrance,1992,2019
germantrance,
eurotrance,eurotrance,1995,2019
eurotrance,
anthemhouse,anthemhouse,1991,2019
anthemhouse,
dutchhouse,dutchhouse,2008,2019
dutchhouse,
vocaltrance,vocaltrance,1997,2019
vocaltrance,
handsup,handsup,2001,2019
handsup,
eurodance,eurodance,1992,2019
eurodance,
nuitalo,nuitalo,1998,2019
nuitalo,
asianpop,asianpop,1991,2019
asianpop,
eurobeat,eurobeat,1987,2019
eurobeat,
italodisco,italodisco,1979,2019
italodisco,
spacesynth,spacesynth,1977,2019
spacesynth,
synthwave,synthwave,2003,2019
synthwave,
synthpop,synthpop,1978,2019
synthpop,
hinrg,hinrg,1977,2019
hinrg,
electroclash,electroclash,1997,2019
electroclash,
filthyelectrohouse,filthyelectrohouse,2002,2019
filthyelectrohouse,
dancepunk,dancepunk,1998,2019
dancepunk,
